ID,UserSeq,Date,Instrument,Type,Side,Amount,Position,Price,Mark Price,Index Price,Cash Flow,Funding,Fee Rate,Fee Charged,Fee Balance,Change,Balance,Equity,Trade ID,Order ID,Info
354855696,1.69E+15,7/13/2023 19:36,BTC-PERPETUAL,trade,open sell,21570,-155490,31783.5,31789.34,31753.64,0,0,0.05,0.00033933,0,-0.00033933,99.96993875,99.85,171938986,16709603044,Source: 'api:OfelyaRza'
354855695,1.69E+15,7/13/2023 19:36,BTC-PERPETUAL,trade,open sell,10220,-133920,31783.5,31789.34,31753.64,0,0.00005138,0.05,0.00016078,0,-0.00016078,99.97027808,99.85,171938985,16709603044,Source: 'api:OfelyaRza'
354842633,1.69E+15,7/13/2023 19:11,BTC-PERPETUAL,trade,open sell,31370,-123700,31370.5,31371.48,31350.55,0,8.20E-07,0.05,0.00049999,0,-0.00049999,99.97043885,99.91,171932461,16709312436,Source: 'api:OfelyaRza'
354842457,1.69E+15,7/13/2023 19:11,BTC-PERPETUAL,trade,open sell,31380,-92330,31378.5,31383.37,31364.01,0,0.00016151,0.05,0.00050002,0,-0.00050002,99.97093885,99.91,171932373,16709305846,Source: 'api:OfelyaRza'
354630088,1.69E+15,7/13/2023 8:00,BTC-PERPETUAL,settlement,short,-60950,-60950,30365.56,0,0,0.02663552,0.00033137,-,0,0,0.02663552,99.97143887,99.97,,,
354250739,1.69E+15,7/12/2023 8:00,BTC-PERPETUAL,settlement,short,-60950,-60950,30768.78,0,0,-0.0082837,0.00013582,-,0,0,-0.0082837,99.94480335,99.94,,,
354222441,1.69E+15,7/12/2023 6:26,BTC-PERPETUAL,trade,open sell,29200,-60950,30704.5,30704.55,30677.3,0,0,0.05,0.0004755,0,-0.0004755,99.95308705,99.95,171624435,16690029880,Source: 'api:OfelyaRza'
354222440,1.69E+15,7/12/2023 6:26,BTC-PERPETUAL,trade,open sell,1500,-31750,30704.5,30704.55,30677.3,0,0.00028034,0.05,0.00002443,0,-0.00002443,99.95356255,99.95,171624434,16690029880,Source: 'api:OfelyaRza'
353935568,1.69E+15,7/11/2023 8:00,BTC-PERPETUAL,settlement,short,-30250,-30250,30563.26,0,0,-0.01418432,0.0003333,-,0,0,-0.01418432,99.95358697,99.95,,,
353762867,1.69E+15,7/10/2023 8:00,BTC-PERPETUAL,settlement,short,-30250,-30250,30121.44,0,0,0.00378945,0.00000141,-,0,0,0.00378945,99.96777129,99.97,,,
353557569,1.69E+15,7/9/2023 20:08,BTC-PERPETUAL,trade,open sell,28520,-30250,30250,30249.42,30243.52,0,0,0.05,0.00047141,0,-0.00047141,99.96398185,99.96,171299730,16661920286,Source: 'api:OfelyaRza'
353557568,1.69E+15,7/9/2023 20:08,BTC-PERPETUAL,trade,open sell,1670,-1730,30250,30249.42,30243.52,0,0,0.05,0.0000276,0,-0.0000276,99.96445325,99.96,171299729,16661920286,Source: 'api:OfelyaRza'
353557567,1.69E+15,7/9/2023 20:08,BTC-PERPETUAL,trade,open sell,60,-60,30250,30249.42,30243.52,0,0,0.05,9.90E-07,0,-9.90E-07,99.96448086,99.96,171299728,16661920286,Source: 'api:OfelyaRza'
353556319,1.69E+15,7/9/2023 19:37,BTC-PERPETUAL,trade,close buy,30160,0,30265,30263.43,30253.35,-0.00010436,0,0.05,0.00049827,0,-0.00049827,99.96448185,99.96,171299109,16661690694,Source: api
353556318,1.69E+15,7/9/2023 19:37,BTC-PERPETUAL,trade,close buy,100,-30160,30265,30263.43,30253.35,-3.50E-07,0,0.05,0.00000165,0,-0.00000165,99.96498011,99.96,171299108,16661690694,Source: api
353556314,1.69E+15,7/9/2023 19:37,BTC-PERPETUAL,trade,open sell,1550,-30260,30258.5,30263.43,30253.35,0,0,0.05,0.00002561,0,-0.00002561,99.96498177,99.96,171299107,16661690676,Source: 'api:OfelyaRza'
353556313,1.69E+15,7/9/2023 19:37,BTC-PERPETUAL,trade,open sell,9710,-28710,30259,30263.43,30253.35,0,0,0.05,0.00016045,0,-0.00016045,99.96500738,99.96,171299106,16661690676,Source: 'api:OfelyaRza'
353556312,1.69E+15,7/9/2023 19:37,BTC-PERPETUAL,trade,open sell,4000,-19000,30260,30263.43,30253.35,0,0,0.05,0.00006609,0,-0.00006609,99.96516783,99.96,171299105,16661690676,Source: 'api:OfelyaRza'
